"age","job_admin.","job_blue.collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self.employed","job_services","job_student","job_technician","job_unemployed","job_unknown","marital_divorced","marital_married","marital_single","education_primary","education_secondary","education_tertiary","education_unknown","default","balance","housing","loan","contact_cellular","contact_telephone","contact_unknown","day","month","duration","campaign","IFP","previous","poutcome_failure","poutcome_other","poutcome_success","PDAYS_1","PDAYS_2","PDAYS_3","PDAYS_4","y"
33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,5,5,54,1,0,0,0,0,0,0,0,0,0,"no"
28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,723,2,2,0,0,1,5,5,262,1,0,0,0,0,0,0,0,0,0,"no"
56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,779,2,1,0,0,1,5,5,164,1,0,0,0,0,0,0,0,0,0,"no"
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,23,2,2,0,0,1,5,5,160,1,0,0,0,0,0,0,0,0,0,"no"
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,50,2,1,0,0,1,5,5,342,1,0,0,0,0,0,0,0,0,0,"no"
40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,0,1,5,5,181,1,0,0,0,0,0,0,0,0,0,"no"
44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-372,2,1,0,0,1,5,5,172,1,0,0,0,0,0,0,0,0,0,"no"
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,255,2,1,0,0,1,5,5,296,1,0,0,0,0,0,0,0,0,0,"no"
52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,113,2,2,0,0,1,5,5,127,1,0,0,0,0,0,0,0,0,0,"no"
46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-246,2,1,0,0,1,5,5,255,2,0,0,0,0,0,0,0,0,0,"no"
36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,265,2,2,0,0,1,5,5,348,1,0,0,0,0,0,0,0,0,0,"no"
57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,839,1,2,0,0,1,5,5,225,1,0,0,0,0,0,0,0,0,0,"no"
49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,378,2,1,0,0,1,5,5,230,1,0,0,0,0,0,0,0,0,0,"no"
60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,39,2,2,0,0,1,5,5,208,1,0,0,0,0,0,0,0,0,0,"no"
59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,5,5,226,1,0,0,0,0,0,0,0,0,0,"no"
51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10635,2,1,0,0,1,5,5,336,1,0,0,0,0,0,0,0,0,0,"no"
57,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,63,2,1,0,0,1,5,5,242,1,0,0,0,0,0,0,0,0,0,"no"
25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-7,2,1,0,0,1,5,5,365,1,0,0,0,0,0,0,0,0,0,"no"
53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-3,1,1,0,0,1,5,5,1666,1,0,0,0,0,0,0,0,0,0,"no"
36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,506,2,1,0,0,1,5,5,577,1,0,0,0,0,0,0,0,0,0,"no"
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,1,5,5,137,1,0,0,0,0,0,0,0,0,0,"no"
44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2586,2,1,0,0,1,5,5,160,1,0,0,0,0,0,0,0,0,0,"no"
50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,49,2,1,0,0,1,5,5,180,2,0,0,0,0,0,0,0,0,0,"no"
60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,104,2,1,0,0,1,5,5,22,1,0,0,0,0,0,0,0,0,0,"no"
54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,529,2,1,0,0,1,5,5,1492,1,0,0,0,0,0,0,0,0,0,"no"
58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,96,2,1,0,0,1,5,5,616,1,0,0,0,0,0,0,0,0,0,"no"
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-171,2,1,0,0,1,5,5,242,1,0,0,0,0,0,0,0,0,0,"no"
58,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,-364,2,1,0,0,1,5,5,355,1,0,0,0,0,0,0,0,0,0,"no"
44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,5,5,225,2,0,0,0,0,0,0,0,0,0,"no"
55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,5,5,160,1,0,0,0,0,0,0,0,0,0,"no"
29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,1,5,5,363,1,0,0,0,0,0,0,0,0,0,"no"
54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1291,2,1,0,0,1,5,5,266,1,0,0,0,0,0,0,0,0,0,"no"
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-244,2,1,0,0,1,5,5,253,1,0,0,0,0,0,0,0,0,0,"no"
32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,1,5,5,179,1,0,0,0,0,0,0,0,0,0,"no"
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-76,2,1,0,0,1,5,5,787,1,0,0,0,0,0,0,0,0,0,"no"
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,-103,2,2,0,0,1,5,5,145,1,0,0,0,0,0,0,0,0,0,"no"
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,243,1,2,0,0,1,5,5,174,1,0,0,0,0,0,0,0,0,0,"no"
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,424,2,1,0,0,1,5,5,104,1,0,0,0,0,0,0,0,0,0,"no"
47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,306,2,1,0,0,1,5,5,13,1,0,0,0,0,0,0,0,0,0,"no"
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,24,2,1,0,0,1,5,5,185,1,0,0,0,0,0,0,0,0,0,"no"
46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,179,2,1,0,0,1,5,5,1778,1,0,0,0,0,0,0,0,0,0,"no"
32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,1,5,5,138,1,0,0,0,0,0,0,0,0,0,"no"
53,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,989,2,1,0,0,1,5,5,812,1,0,0,0,0,0,0,0,0,0,"no"
57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,249,2,1,0,0,1,5,5,164,1,0,0,0,0,0,0,0,0,0,"no"
33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,790,2,1,0,0,1,5,5,391,1,0,0,0,0,0,0,0,0,0,"no"
49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,154,2,1,0,0,1,5,5,357,1,0,0,0,0,0,0,0,0,0,"no"
51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6530,2,1,0,0,1,5,5,91,1,0,0,0,0,0,0,0,0,0,"no"
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,100,1,1,0,0,1,5,5,528,1,0,0,0,0,0,0,0,0,0,"no"
59,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,59,2,1,0,0,1,5,5,273,1,0,0,0,0,0,0,0,0,0,"no"
55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1205,2,1,0,0,1,5,5,158,2,0,0,0,0,0,0,0,0,0,"no"
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,12223,2,2,0,0,1,5,5,177,1,0,0,0,0,0,0,0,0,0,"no"
57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5935,2,2,0,0,1,5,5,258,1,0,0,0,0,0,0,0,0,0,"no"
31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,25,2,2,0,0,1,5,5,172,1,0,0,0,0,0,0,0,0,0,"no"
54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,282,2,2,0,0,1,5,5,154,1,0,0,0,0,0,0,0,0,0,"no"
55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,23,2,1,0,0,1,5,5,291,1,0,0,0,0,0,0,0,0,0,"no"
43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1937,2,1,0,0,1,5,5,181,1,0,0,0,0,0,0,0,0,0,"no"
53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,384,2,1,0,0,1,5,5,176,1,0,0,0,0,0,0,0,0,0,"no"
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,582,1,2,0,0,1,5,5,211,1,0,0,0,0,0,0,0,0,0,"no"
55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,91,1,1,0,0,1,5,5,349,1,0,0,0,0,0,0,0,0,0,"no"
49,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,0,1,5,5,272,1,0,0,0,0,0,0,0,0,0,"no"
55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,2,1,0,0,1,5,5,208,1,0,0,0,0,0,0,0,0,0,"no"
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,206,2,1,0,0,1,5,5,193,1,0,0,0,0,0,0,0,0,0,"no"
47,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,164,1,1,0,0,1,5,5,212,1,0,0,0,0,0,0,0,0,0,"no"
42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,690,2,1,0,0,1,5,5,20,1,0,0,0,0,0,0,0,0,0,"no"
59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2343,2,1,0,0,1,5,5,1042,1,0,0,0,0,0,0,0,0,0,"yes"
46,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,137,2,2,0,0,1,5,5,246,1,0,0,0,0,0,0,0,0,0,"no"
51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,173,2,1,0,0,1,5,5,529,2,0,0,0,0,0,0,0,0,0,"no"
56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,45,1,1,0,0,1,5,5,1467,1,0,0,0,0,0,0,0,0,0,"yes"
41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1270,2,1,0,0,1,5,5,1389,1,0,0,0,0,0,0,0,0,0,"yes"
46,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,16,2,2,0,0,1,5,5,188,2,0,0,0,0,0,0,0,0,0,"no"
57,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,486,2,1,0,0,1,5,5,180,2,0,0,0,0,0,0,0,0,0,"no"
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,50,1,1,0,0,1,5,5,48,1,0,0,0,0,0,0,0,0,0,"no"
30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,152,2,2,0,0,1,5,5,213,2,0,0,0,0,0,0,0,0,0,"no"
60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,290,2,1,0,0,1,5,5,583,1,0,0,0,0,0,0,0,0,0,"no"
60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,54,2,1,0,0,1,5,5,221,1,0,0,0,0,0,0,0,0,0,"no"
57,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-37,1,1,0,0,1,5,5,173,1,0,0,0,0,0,0,0,0,0,"no"
36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,101,2,2,0,0,1,5,5,426,1,0,0,0,0,0,0,0,0,0,"no"
55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,383,1,1,0,0,1,5,5,287,1,0,0,0,0,0,0,0,0,0,"no"
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,81,2,1,0,0,1,5,5,101,1,0,0,0,0,0,0,0,0,0,"no"
39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,5,5,203,1,0,0,0,0,0,0,0,0,0,"no"
46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,229,2,1,0,0,1,5,5,197,1,0,0,0,0,0,0,0,0,0,"no"
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-674,2,1,0,0,1,5,5,257,1,0,0,0,0,0,0,0,0,0,"no"
53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,90,1,1,0,0,1,5,5,124,1,0,0,0,0,0,0,0,0,0,"no"
52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,128,2,1,0,0,1,5,5,229,1,0,0,0,0,0,0,0,0,0,"no"
59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,179,2,1,0,0,1,5,5,55,3,0,0,0,0,0,0,0,0,0,"no"
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,1,5,5,400,1,0,0,0,0,0,0,0,0,0,"no"
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,54,2,1,0,0,1,5,5,197,1,0,0,0,0,0,0,0,0,0,"no"
47,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,151,2,1,0,0,1,5,5,190,1,0,0,0,0,0,0,0,0,0,"no"
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,61,1,2,0,0,1,5,5,21,1,0,0,0,0,0,0,0,0,0,"no"
59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,30,2,1,0,0,1,5,5,514,1,0,0,0,0,0,0,0,0,0,"no"
45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,523,2,1,0,0,1,5,5,849,2,0,0,0,0,0,0,0,0,0,"no"
29,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,31,2,1,0,0,1,5,5,194,1,0,0,0,0,0,0,0,0,0,"no"
46,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,79,1,1,0,0,1,5,5,144,1,0,0,0,0,0,0,0,0,0,"no"
56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,-34,2,2,0,0,1,5,5,212,2,0,0,0,0,0,0,0,0,0,"no"
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,448,2,1,0,0,1,5,5,286,1,0,0,0,0,0,0,0,0,0,"no"
59,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,81,2,1,0,0,1,5,5,107,1,0,0,0,0,0,0,0,0,0,"no"
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,144,2,1,0,0,1,5,5,247,2,0,0,0,0,0,0,0,0,0,"no"
41,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,351,2,1,0,0,1,5,5,518,1,0,0,0,0,0,0,0,0,0,"no"
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-67,2,1,0,0,1,5,5,364,1,0,0,0,0,0,0,0,0,0,"no"
59,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,262,1,1,0,0,1,5,5,178,1,0,0,0,0,0,0,0,0,0,"no"
57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,5,5,98,1,0,0,0,0,0,0,0,0,0,"no"
56,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,56,2,1,0,0,1,5,5,439,1,0,0,0,0,0,0,0,0,0,"no"
51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,26,2,1,0,0,1,5,5,79,1,0,0,0,0,0,0,0,0,0,"no"
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,1,0,0,1,5,5,120,3,0,0,0,0,0,0,0,0,0,"no"
43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,41,2,2,0,0,1,5,5,127,2,0,0,0,0,0,0,0,0,0,"no"
52,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,7,1,2,0,0,1,5,5,175,1,0,0,0,0,0,0,0,0,0,"no"
33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,105,2,1,0,0,1,5,5,262,2,0,0,0,0,0,0,0,0,0,"no"
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,818,2,2,0,0,1,5,5,61,1,0,0,0,0,0,0,0,0,0,"no"
34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,-16,2,2,0,0,1,5,5,78,1,0,0,0,0,0,0,0,0,0,"no"
31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,5,5,143,1,0,0,0,0,0,0,0,0,0,"no"
55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2476,2,1,0,0,1,5,5,579,1,0,0,0,0,0,0,0,0,0,"yes"
55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1185,1,1,0,0,1,5,5,677,1,0,0,0,0,0,0,0,0,0,"no"
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,217,2,1,0,0,1,5,5,345,1,0,0,0,0,0,0,0,0,0,"no"
38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1685,2,1,0,0,1,5,5,185,1,0,0,0,0,0,0,0,0,0,"no"
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,802,2,2,0,0,1,5,5,100,2,0,0,0,0,0,0,0,0,0,"no"
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,1,0,0,1,5,5,125,2,0,0,0,0,0,0,0,0,0,"no"
23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,94,2,1,0,0,1,5,5,193,1,0,0,0,0,0,0,0,0,0,"no"
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,1,5,5,136,1,0,0,0,0,0,0,0,0,0,"no"
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,5,5,73,1,0,0,0,0,0,0,0,0,0,"no"
32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,517,2,1,0,0,1,5,5,528,1,0,0,0,0,0,0,0,0,0,"no"
46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,265,2,1,0,0,1,5,5,541,1,0,0,0,0,0,0,0,0,0,"no"
53,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,947,2,1,0,0,1,5,5,163,1,0,0,0,0,0,0,0,0,0,"no"
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,0,0,1,5,5,301,1,0,0,0,0,0,0,0,0,0,"no"
57,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,42,1,1,0,0,1,5,5,46,1,0,0,0,0,0,0,0,0,0,"no"
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,37,2,1,0,0,1,5,5,204,1,0,0,0,0,0,0,0,0,0,"no"
59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,57,2,1,0,0,1,5,5,98,1,0,0,0,0,0,0,0,0,0,"no"
33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,22,2,1,0,0,1,5,5,71,1,0,0,0,0,0,0,0,0,0,"no"
56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,8,2,1,0,0,1,5,5,157,2,0,0,0,0,0,0,0,0,0,"no"
48,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,293,2,1,0,0,1,5,5,243,1,0,0,0,0,0,0,0,0,0,"no"
43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,3,2,1,0,0,1,5,5,186,2,0,0,0,0,0,0,0,0,0,"no"
54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,348,2,1,0,0,1,5,5,579,2,0,0,0,0,0,0,0,0,0,"no"
51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-19,2,1,0,0,1,5,5,163,2,0,0,0,0,0,0,0,0,0,"no"
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,1,5,5,610,2,0,0,0,0,0,0,0,0,0,"no"
40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-4,2,1,0,0,1,5,5,2033,1,0,0,0,0,0,0,0,0,0,"no"
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,18,2,1,0,0,1,5,5,85,1,0,0,0,0,0,0,0,0,0,"no"
50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,139,1,1,0,0,1,5,5,114,2,0,0,0,0,0,0,0,0,0,"no"
41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,5,5,114,2,0,0,0,0,0,0,0,0,0,"no"
51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1883,2,1,0,0,1,5,5,57,1,0,0,0,0,0,0,0,0,0,"no"
60,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,216,2,1,0,0,1,5,5,238,1,0,0,0,0,0,0,0,0,0,"no"
52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,782,2,1,0,0,1,5,5,93,3,0,0,0,0,0,0,0,0,0,"no"
48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,904,2,1,0,0,1,5,5,128,2,0,0,0,0,0,0,0,0,0,"no"
